City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Jena,0,DE,1586382065,53,50.93,11.58,55.0,9.17
Huarmey,7,PE,1586382334,61,-10.07,-78.15,79.84,9.69
Nador,90,MA,1586382161,77,35.17,-2.93,62.6,4.7
Baykit,100,RU,1586382335,84,61.67,96.37,38.98,7.23
Vostok,100,RU,1586382335,87,46.49,135.88,20.75,2.39
Narsaq,98,GL,1586382335,32,60.92,-46.05,41.0,2.24
Acapulco de Juárez,40,MX,1586382337,70,16.86,-99.89,86.0,9.17
Porbandar,0,IN,1586382337,86,21.64,69.61,76.01,9.19
Pinega,92,RU,1586382337,88,64.7,43.39,34.97,8.9
Setermoen,100,NO,1586382337,86,68.86,18.35,36.0,36.91
Vila Franca do Campo,20,PT,1586382338,93,37.72,-25.43,60.8,9.17
Petatlán,40,MX,1586382338,52,17.52,-101.27,89.6,11.41
Maniitsoq,88,GL,1586382338,90,65.42,-52.9,27.66,8.95
Byron Bay,75,AU,1586382338,100,-28.65,153.62,73.0,11.41
Adamovka,11,RU,1586382338,89,51.52,59.94,28.69,7.38
Okhotsk,5,RU,1586382339,90,59.38,143.3,24.53,17.22
Manavālakurichi,20,IN,1586382339,74,8.13,77.3,80.6,3.36
Karonga,99,MW,1586382339,72,-9.93,33.93,74.73,2.55
Bandrele,38,YT,1586382340,83,-12.91,45.19,82.4,8.05
Qandala,25,SO,1586382340,53,11.47,49.87,83.66,9.44
Pachino,36,IT,1586382340,76,36.72,15.09,55.4,3.36
Kahului,40,US,1586382209,58,20.89,-156.47,82.4,9.17
Răsuceni,0,RO,1586382340,49,44.09,25.66,52.0,2.24
Samarai,9,PG,1586382341,81,-10.62,150.67,80.13,5.86
Umeå,100,SE,1586382341,69,63.83,20.26,37.99,5.82
Katobu,96,ID,1586382341,91,-4.94,122.53,74.95,0.78
Tateyama,0,JP,1586382342,71,34.98,139.87,55.99,10.29
Torit,0,SS,1586382342,37,4.41,32.57,81.97,4.7
Saldanha,0,ZA,1586382301,44,-33.01,17.94,59.0,6.93
Grand Bank,100,CA,1586382343,95,47.1,-55.77,29.97,13.67
Griffith,1,US,1586382085,72,41.53,-87.42,77.0,11.41
Mahébourg,75,MU,1586382343,83,-20.41,57.7,79.0,10.29
Kogon,96,UZ,1586382344,93,39.72,64.55,39.2,13.87
Port Lincoln,85,AU,1586382344,76,-34.73,135.87,60.03,8.03
Burnie,55,AU,1586382344,88,-41.07,145.92,55.0,5.1
Serenje,67,ZM,1586382286,62,-13.23,30.24,62.92,5.44
Kaili,100,ID,1586382344,71,-3.46,120.21,70.84,4.21
Sola,75,VU,1586382345,94,-13.88,167.55,82.4,0.65
Dombarovskiy,84,RU,1586382345,87,50.76,59.54,30.24,7.38
Kapoeta,4,SS,1586382345,33,4.77,33.59,86.76,13.94
Cabo San Lucas,90,MX,1586382282,50,22.89,-109.91,84.99,14.99
Chui,43,UY,1586382346,74,-33.7,-53.46,61.97,14.36
Krasnosel'kup,98,RU,1586382346,96,65.7,82.47,25.23,18.66
Virginia Beach,75,US,1586381920,36,36.85,-75.98,84.2,14.99
Oddur,1,SO,1586382346,57,4.12,43.89,78.66,17.18
Ganzhou,19,CN,1586382346,70,28.82,115.43,59.32,2.13
Kavaratti,4,IN,1586382347,66,10.57,72.64,83.52,8.77
San Quintín,0,MX,1586382347,59,30.48,-115.95,60.1,11.88
Kwinana,3,AU,1586382347,82,-32.25,115.77,64.0,4.25
Salair,100,RU,1586382347,82,54.23,85.8,33.67,2.55
Ayan,39,RU,1586382348,86,56.45,138.17,33.08,9.35
Nakambala,48,ZM,1586382348,58,-15.83,27.78,68.5,5.23
Benghazi,98,LY,1586382348,63,32.12,20.07,58.68,14.9
Doka,0,SD,1586382348,19,13.52,35.77,88.59,2.04
Murray Bridge,0,AU,1586382133,99,-35.12,139.27,52.0,3.71
Beringovskiy,0,RU,1586382349,88,63.05,179.32,12.92,1.9
Susanville,75,US,1586382349,31,40.42,-120.65,64.4,12.75
Malakal,47,SS,1586382349,30,9.53,31.66,90.72,5.93
Havelock,1,US,1586382350,51,34.88,-76.9,88.0,13.87
Tompa,0,HU,1586382350,62,46.21,19.54,46.99,2.21
Río Gallegos,0,AR,1586382350,24,-51.62,-69.22,80.6,12.75
Dalby,90,AU,1586382350,72,-27.18,151.27,66.99,10.29
Olecko,57,PL,1586382180,94,54.03,22.51,44.01,6.08
Kalach-na-Donu,12,RU,1586382351,29,48.69,43.53,39.2,15.66
Jiutai,40,CN,1586382351,94,44.15,125.83,32.0,2.24
Ahipara,68,NZ,1586382351,67,-35.17,173.17,64.15,17.34
Zatoka,0,UA,1586382352,52,46.07,30.47,41.0,4.47
Bratsk,0,RU,1586382352,44,56.13,101.61,37.4,8.95
Vardø,40,NO,1586382352,69,70.37,31.11,35.6,18.34
Anadyr,40,RU,1586382352,72,64.75,177.48,10.4,4.47
Ponta do Sol,40,PT,1586382353,82,32.67,-17.1,68.0,1.12
Goderich,6,CA,1586382353,78,43.75,-81.72,61.0,2.37
Vanimo,95,PG,1586382353,83,-2.67,141.3,78.1,5.06
Lorengau,63,PG,1586382354,79,-2.02,147.27,81.21,4.0
Macapá,75,BR,1586382354,100,0.04,-51.07,80.6,3.36
Paamiut,97,GL,1586382354,83,61.99,-49.67,32.86,6.02
Ixtaczoquitlán,66,MX,1586382354,31,18.85,-97.07,85.71,5.19
San Policarpo,18,PH,1586382355,81,12.18,125.51,80.26,7.87
Puerto Madryn,0,AR,1586382069,22,-42.77,-65.04,72.0,25.93
Pitimbu,4,BR,1586382355,83,-7.47,-34.81,80.6,6.93
Forsytheganj,15,BY,1586382355,72,52.63,29.73,43.93,1.1
Ilulissat,0,GL,1586382350,52,69.22,-51.1,19.4,2.24
Nioro,0,GM,1586382356,35,13.35,-15.75,81.75,13.58
Port Macquarie,90,AU,1586382356,100,-31.43,152.92,63.0,5.93
Hirara,94,JP,1586382356,79,24.8,125.28,69.78,18.05
Newcastleton,75,GB,1586382357,75,55.18,-2.81,50.0,6.93
Ibotirama,90,BR,1586382357,73,-12.19,-43.22,78.53,1.7
Grand Gaube,75,MU,1586382357,83,-20.01,57.66,79.0,10.29
Konstantinovka,0,RU,1586382357,93,49.62,127.98,30.0,8.72
Iqaluit,5,CA,1586382358,72,63.75,-68.51,14.0,4.7
Moree,75,AU,1586382358,72,-29.47,149.85,64.4,8.05
Elvas,100,PT,1586382297,82,38.88,-7.16,66.2,3.36
Poum,1,NC,1586382358,76,-20.23,164.02,78.87,15.21
Paralímni,20,CY,1586382358,87,35.04,33.98,53.6,3.36
Guymon,1,US,1586382359,14,36.68,-101.48,82.4,18.34
Dhidhdhoo,0,MV,1586382359,70,6.88,73.1,84.61,5.93
Caucaia,40,BR,1586382359,74,-3.74,-38.65,84.2,9.17
Kruisfontein,78,ZA,1586382359,68,-34.0,24.73,59.47,16.11
Sobolevo,0,RU,1586382360,79,54.43,31.9,41.54,4.97
Bambous Virieux,75,MU,1586382360,83,-20.34,57.76,79.0,10.29
Colac,18,AU,1586382360,97,-38.33,143.58,55.0,4.63
Kawalu,83,ID,1586382360,80,-7.38,108.21,73.26,2.13
Nova Prata,0,BR,1586382361,44,-28.78,-51.61,57.0,3.87
Buchanan,40,LR,1586382160,88,5.88,-10.05,82.4,4.7
Pangkalanbuun,93,ID,1586382361,95,-2.68,111.62,74.57,3.91
Puerto Pailas,20,BO,1586382361,51,-17.67,-62.79,84.2,8.05
Pospelikha,99,RU,1586382361,72,51.95,81.77,36.66,4.23
Juba,69,SS,1586382362,40,4.85,31.58,85.28,2.26
Laytown,75,IE,1586382362,93,53.68,-6.24,50.0,2.24
Simao,30,CN,1586382362,42,22.79,100.97,56.97,2.21
Jizan,0,SA,1586382362,66,17.33,42.67,84.2,4.7
Kirakira,74,SB,1586382363,76,-10.45,161.92,81.19,3.76
Kedrovyy,40,RU,1586382363,56,56.17,91.82,41.0,6.71
Launceston,90,AU,1586382363,100,-41.45,147.17,48.0,3.36
Banjar,20,ID,1586382363,94,-8.19,114.97,80.6,2.24
Saint Anthony,1,US,1586382364,24,45.02,-93.22,55.99,14.99
Vila,75,PT,1586382364,87,42.03,-8.16,63.0,2.24
Houma,75,US,1586382364,74,29.6,-90.72,86.0,9.17
Uvinza,100,TZ,1586382364,68,-5.1,30.39,68.67,3.8
Los Baños,20,PH,1586382364,78,14.17,121.18,80.6,2.98
Gacko,0,BA,1586382365,49,43.17,18.54,36.43,4.7
Newport,20,GB,1586382100,67,51.59,-3.0,59.0,5.82
Clifton,90,US,1586382365,51,40.86,-74.16,68.0,10.29
Buraidah,40,SA,1586382365,54,26.33,43.98,80.6,3.36
Novy Urengoy,99,RU,1586382366,96,66.08,76.63,21.29,21.5
Trairi,94,BR,1586382366,81,-3.28,-39.27,81.46,10.63
Banepā,4,NP,1586382366,22,27.63,85.52,58.17,7.0
Praia da Vitória,20,PT,1586382366,82,38.73,-27.07,62.6,10.71
Bhādāsar,0,IN,1586382367,25,28.28,74.32,76.87,7.36
Olden,75,NO,1586382367,64,61.84,6.81,39.2,23.04
Bāgli,20,IN,1586382367,36,22.65,76.35,77.0,5.82
Leningradskiy,95,RU,1586382369,89,69.38,178.42,3.15,7.87
Hamilton,20,US,1586382146,28,39.18,-84.53,82.0,9.17
Benguela,0,AO,1586382369,78,-12.58,13.41,77.14,2.33
Shingū,0,JP,1586382369,63,33.73,135.98,47.89,4.76
Kurchum,100,KZ,1586382370,75,48.57,83.65,40.98,5.93
Leme,13,BR,1586382080,69,-22.19,-47.39,73.4,10.29
Conceição das Alagoas,36,BR,1586382370,57,-19.91,-48.39,78.8,8.05
Srednekolymsk,94,RU,1586382370,91,67.45,153.68,0.14,9.48
Dakar,0,SN,1586382362,73,14.69,-17.44,75.2,9.17
Karratha,49,AU,1586382371,65,-20.74,116.85,79.92,4.32
Saint-Leu,20,RE,1586382371,73,-21.15,55.28,77.0,8.05
Birao,60,CF,1586382371,33,10.28,22.79,85.15,4.5
Palafrugell,20,ES,1586382372,93,41.92,3.16,57.0,1.12
Valley City,75,US,1586382302,55,46.92,-98.0,44.6,28.86
Nur-Sultan,0,KZ,1586382215,85,51.18,71.45,23.0,6.71
Udachny,100,RU,1586382372,43,66.42,112.4,33.8,6.71
San Luis,18,AR,1586382363,33,-33.3,-66.34,70.29,12.68
Beyneu,0,KZ,1586382373,70,45.32,55.2,39.7,7.65
Khon Kaen,5,TH,1586382373,74,16.45,102.83,78.8,4.7
Jaca,34,ES,1586382374,81,42.57,-0.55,54.0,2.24
Pangody,99,RU,1586382374,97,65.85,74.49,21.72,16.15
Russell,75,US,1586382314,62,32.35,-85.2,84.2,6.93
Esperance,0,AU,1586382375,63,-33.87,121.9,62.6,20.8
Motygino,100,RU,1586382375,88,58.18,94.76,36.28,5.77
Otane,92,NZ,1586382375,79,-39.88,176.63,55.0,10.0
Najrān,0,SA,1586382375,22,17.49,44.13,75.2,3.47
Saint-Augustin,100,CA,1586382376,95,51.23,-58.65,26.42,12.21
Sémbé,100,CG,1586382376,82,1.65,14.58,72.01,3.24
Visby,95,SE,1586382376,61,57.64,18.3,48.2,18.34
Ortaköy,89,TR,1586382377,56,38.74,34.04,44.08,7.52
Mahibadhoo,85,MV,1586382378,69,3.78,72.97,84.36,6.53
Bandundu Province,100,CD,1586382378,86,-3.32,17.37,74.39,3.53
Lima,0,PE,1586382083,73,-12.04,-77.03,77.0,14.99
Fairbanks,1,US,1586382379,57,64.84,-147.72,28.99,3.36
Constitución,42,CL,1586382379,67,-35.33,-72.42,61.07,4.63
Magadan,100,RU,1586382379,91,59.57,150.8,19.47,4.09
Arman',100,RU,1586382379,92,59.7,150.17,20.75,3.71
Half Moon Bay,90,US,1586382344,87,37.46,-122.43,69.01,6.93
Mabaruma,99,GY,1586382380,63,8.2,-59.78,82.85,6.82
Solnechnyy,0,RU,1586382380,89,50.72,136.63,23.77,3.96
Celestún,9,MX,1586382380,55,20.87,-90.4,86.52,12.3
Pisco,40,PE,1586382381,30,-13.7,-76.22,72.0,6.93
Changying,0,CN,1586382381,90,52.87,123.32,22.44,2.95
Katoro,84,TZ,1586382381,62,-3.02,31.9,65.34,1.45
Jishu,94,CN,1586382381,95,44.32,126.8,29.64,1.39
Talcahuano,90,CL,1586382382,87,-36.72,-73.12,53.6,9.17
Muros,90,ES,1586382382,87,42.78,-9.06,60.01,2.24
Umluj,0,SA,1586382382,47,25.02,37.27,75.58,11.59
Asău,0,RO,1586382382,42,46.43,26.4,48.99,2.24
Kasongo,6,CD,1586382382,76,-4.45,26.67,71.67,2.39
Mineral Wells,1,US,1586382323,17,32.81,-98.11,95.0,12.75
Bilibino,100,RU,1586382383,89,68.05,166.44,11.35,5.01
Sibu,75,MY,1586382383,94,2.3,111.82,77.0,1.45
Forestville,1,US,1586382371,36,38.85,-76.88,78.8,14.99
Ankara,11,TR,1586382288,45,39.92,32.85,50.0,4.7
Novobirilyussy,100,RU,1586382384,86,56.95,90.67,33.04,3.74
Nokha,0,IN,1586382384,22,27.6,73.42,77.4,8.21
Serebryanyy Bor,0,RU,1586382384,83,56.8,124.8,11.93,0.69
Port Hedland,90,AU,1586382384,78,-20.32,118.57,80.6,6.93
Malanje,0,AO,1586382385,66,-9.54,16.34,66.29,1.74
Umm Kaddadah,0,SD,1586382383,11,13.6,26.69,85.37,17.05
Sartell,20,US,1586382335,25,45.62,-94.21,53.01,23.04
Kattivākkam,40,IN,1586382385,83,13.22,80.32,84.2,4.7
Alice Springs,90,AU,1586382307,67,-23.7,133.88,62.6,3.36
Bundaberg,90,AU,1586382386,88,-24.85,152.35,73.99,10.29
Alyangula,75,AU,1586382386,100,-13.85,136.42,75.2,9.44
Olafsvik,78,IS,1586382386,85,64.89,-23.71,33.85,7.83
Turbat,0,PK,1586382386,41,26.0,63.04,78.87,2.01
Moose Factory,90,CA,1586382387,74,51.26,-80.61,30.2,13.87
Greiz,0,DE,1586382387,61,50.65,12.2,55.0,2.24
Pangnirtung,20,CA,1586382387,73,66.15,-65.71,19.4,3.36
Kieta,56,PG,1586382387,77,-6.22,155.63,81.14,3.2
Leninskoye,99,RU,1586382388,83,47.94,132.62,34.03,5.61
Helena,1,US,1586382388,32,46.59,-112.04,54.0,4.7
Bjørnevatn,40,NO,1586382388,74,69.67,29.98,35.6,41.38
Bucerías,75,MX,1586382388,74,20.75,-105.33,80.6,13.87
Amapá,100,BR,1586382389,93,1.0,-52.0,77.81,2.35
Antalaha,4,MG,1586382389,82,-14.9,50.28,77.36,12.41
Goma,100,CD,1586382389,50,-1.68,29.22,64.18,1.9
Borzya,19,RU,1586382389,64,50.38,116.52,29.07,3.02
San Joaquin,93,VE,1586382389,55,10.26,-67.79,82.24,3.56
Gweta,60,BW,1586382390,30,-20.18,25.23,78.76,15.9
Abu Samrah,34,SY,1586382390,65,35.3,37.18,54.16,6.64
Bambanglipuro,99,ID,1586382390,82,-7.95,110.28,77.68,4.12
Ivybridge,0,GB,1586382370,81,50.39,-3.92,53.01,3.27
Dyurtyuli,100,RU,1586382391,92,55.49,54.87,32.67,10.07
Oistins,40,BB,1586382249,61,13.07,-59.53,82.4,14.99
Kuala Terengganu,20,MY,1586382391,94,5.33,103.14,78.8,3.36
Springbok,88,ZA,1586382391,23,-29.66,17.89,59.31,6.35
Neyshabur,82,IR,1586382304,59,36.21,58.8,29.62,12.44
Codrington,3,AU,1586382392,86,-38.27,141.97,54.99,10.54
Calamar,89,CO,1586382392,70,10.25,-74.91,87.8,18.34
Mahajanga,20,MG,1586382392,83,-15.72,46.32,80.6,2.24
Mossendjo,96,CG,1586382393,84,-2.95,12.73,73.26,1.07
Vrangel',78,RU,1586382393,91,42.73,133.08,33.58,1.86
Betanzos,75,ES,1586382393,100,43.28,-8.21,59.0,1.12
Macon,1,US,1586382199,26,39.87,-88.97,86.0,11.41
Port Augusta,0,AU,1586382393,87,-32.5,137.77,53.6,2.24
Ribnitz-Damgarten,40,DE,1586382144,62,54.25,12.47,57.2,10.29
Znamenskoye,100,RU,1586382394,89,57.13,73.83,27.23,16.17
Agüimes,20,ES,1586382394,82,27.91,-15.45,68.0,21.92
Rakke,100,EE,1586382394,67,58.98,26.25,41.43,11.07
Iracoubo,95,GF,1586382395,81,5.48,-53.2,79.92,11.41
Madimba,20,TZ,1586382395,94,-10.4,40.33,77.0,7.27
Upata,100,VE,1586382395,32,8.01,-62.4,91.81,8.63
Soria,84,ES,1586382396,90,41.67,-2.67,51.01,3.0
Marabu,75,MY,1586382396,94,4.41,114.01,78.8,4.7
Salym,100,RU,1586382396,96,60.06,71.48,24.08,13.2
Dongsheng,3,CN,1586382396,37,39.82,109.98,39.15,12.93
Miles City,90,US,1586382396,28,46.41,-105.84,46.99,26.4
Gornopravdinsk,100,RU,1586382397,97,60.05,69.9,23.61,10.65
Hokitika,52,NZ,1586382397,71,-42.72,170.97,53.13,5.55
La Pintada,40,CO,1586382397,44,5.75,-75.61,86.0,9.17
Itoman,75,JP,1586382397,68,26.12,127.67,66.2,4.7
Bontang,67,ID,1586382397,90,0.13,117.5,76.46,5.39
Safita,18,SY,1586382398,82,34.82,36.12,51.01,1.9
Oga,7,IT,1586382398,42,46.46,10.35,41.0,4.7
Chumikan,10,RU,1586382398,92,54.72,135.31,29.16,8.23
Carutapera,100,BR,1586382398,89,-1.2,-46.02,78.31,15.03
Bossangoa,100,CF,1586382399,75,6.49,17.46,74.57,3.18
Alagoinhas,85,BR,1586382315,71,-12.14,-38.42,78.98,6.64
Sabaudia,5,IT,1586382399,93,41.3,13.03,55.99,1.12
Hluti,92,SZ,1586382400,71,-27.22,31.62,59.5,2.26
Bulanash,20,RU,1586382400,91,57.28,62.0,25.52,10.29
Ozernovskiy,100,RU,1586382400,98,51.5,156.52,31.91,8.97
El Real de Santa Maria,100,PA,1586382400,82,8.11,-77.73,84.15,2.55
Woodward,1,US,1586382135,17,36.43,-99.39,89.6,16.11
Española,1,US,1586382401,14,35.99,-106.08,71.01,9.17
Dali,38,CN,1586382401,39,25.7,100.18,46.58,3.11
The Valley,20,AI,1586382401,74,18.22,-63.06,86.0,9.17
Torbat-e Jām,95,IR,1586382401,64,35.24,60.62,31.41,15.46
Aripuanã,100,BR,1586382402,91,-9.17,-60.63,81.54,0.36
Ketchikan,90,US,1586382402,100,55.34,-131.65,41.0,25.28
Xichang,78,CN,1586382402,44,27.9,102.26,52.79,1.74
Ossora,24,RU,1586382403,93,59.24,163.07,13.73,3.85
Yerbogachën,0,RU,1586382403,84,61.28,108.01,32.77,4.5
Flinders,75,AU,1586382478,93,-34.58,150.86,62.01,5.82
Ongandjera,10,NA,1586382478,29,-17.88,15.07,78.42,8.16
Imbituba,0,BR,1586382479,64,-28.24,-48.67,69.8,11.41
Longonjo,0,AO,1586382479,53,-12.91,15.25,64.0,1.36
Seminole,20,US,1586382479,45,28.71,-81.21,90.0,9.17
Safranbolu,5,TR,1586382209,66,41.25,32.69,40.5,0.76
Bezhetsk,5,RU,1586382480,85,57.79,36.7,35.96,4.81
Dwārka,0,IN,1586382480,87,22.24,68.97,77.52,13.35
Cockburn Town,40,TC,1586382480,65,21.46,-71.14,82.4,6.93
Kautokeino,96,NO,1586382480,89,69.01,23.04,29.07,19.86
Sterling,75,US,1586382335,38,39.01,-77.43,78.8,16.11
Jurm,100,AF,1586382481,38,36.86,70.83,45.52,6.15
Shelburne,20,CA,1586382405,47,44.08,-80.2,57.0,13.87
Tilichiki,0,RU,1586382482,91,60.47,166.1,7.12,5.26
Puerto Nariño,90,CO,1586382482,100,-3.77,-70.38,75.2,2.24
Tres Picos,20,MX,1586382482,43,15.87,-93.53,95.16,8.48
Genhe,60,CN,1586382482,89,50.78,121.52,23.56,2.71
Del Rio,1,US,1586382271,36,29.36,-100.9,91.4,5.82
Isangel,22,VU,1586382483,74,-19.55,169.27,77.85,16.04
Terra Rica,20,BR,1586382483,69,-22.71,-52.62,75.04,5.91
Cascais,75,PT,1586382446,77,38.7,-9.42,62.01,3.36
Gairatganj,83,IN,1586382484,25,23.42,78.24,75.61,1.59
Meulaboh,100,ID,1586382484,81,4.14,96.13,79.09,3.71
High Level,40,CA,1586382484,40,58.52,-117.14,35.6,4.7
Aykhal,89,RU,1586382484,43,66.0,111.5,33.8,6.71
Urambo,99,TZ,1586382485,69,-5.07,32.05,66.79,4.85
San Juan,1,AR,1586382485,26,-31.54,-68.54,75.38,9.4
Port Hueneme,75,US,1586382376,62,34.15,-119.2,61.0,9.17
